1stInstance | construct
1stInstance | Try to get FILE Lock
1stInstance | LockKey: 0.46428700 1384010117
1stInstance | LockKey not confirmed
1stInstance | Expected: 0.46428700 1384010117
1stInstance | Actual: 0.46428700 1384010117

1stInstance | destruct
1stInstance | Unlock
1stInstance | Unlock file
1stInstance | successful
2013.11.19 16:37:41 | 1stInstance | Open DataHandler
2013.11.19 16:37:41 | 1stInstance | Try to get FILE Lock
2013.11.19 16:37:41 | 1stInstance | LockKey: 0.87183000 1384875461
2013.11.19 16:37:41 | 1stInstance | LockKey not confirmed
2013.11.19 16:37:41 | 1stInstance | Expected: 0.87183000 1384875461
2013.11.19 16:37:41 | 1stInstance | Actual: 0.87183000 1384875461

2013.11.19 16:37:41 | 1stInstance | Unlock
2013.11.19 16:37:41 | 1stInstance | Unlock file
2013.11.19 16:37:41 | 1stInstance | successful
2013.11.19 16:37:41 | 1stInstance | Close DataHandler
2013.11.19 16:40:10 | 1stInstance | Open DataHandler
2013.11.19 16:40:10 | 1stInstance | Try to get FILE Lock
2013.11.19 16:40:10 | 1stInstance | LockKey: 1stInstance
2013.11.19 16:40:10 | 1stInstance | Lock created
2013.11.19 16:40:10 | 1stInstance | Lock created, Timeout: 1000000
2013.11.19 16:40:10 | 1stInstance | File Read successfully
2013.11.19 16:40:10 | 2ndInstance | Open DataHandler
2013.11.19 16:40:10 | 2ndInstance | Try to get FILE Lock
2013.11.19 16:40:10 | 2ndInstance | File still locked
2013.11.19 16:40:10 | 2ndInstance | File still locked
2013.11.19 16:40:10 | 2ndInstance | File still locked
2013.11.19 16:40:10 | 2ndInstance | File still locked
2013.11.19 16:40:11 | 2ndInstance | File still locked
2013.11.19 16:40:11 | 2ndInstance | File still locked
2013.11.19 16:40:11 | 2ndInstance | File still locked
2013.11.19 16:40:11 | 2ndInstance | File still locked
2013.11.19 16:40:11 | 2ndInstance | File still locked
2013.11.19 16:40:11 | 2ndInstance | File still locked
2013.11.19 16:40:11 | 2ndInstance | File still locked
2013.11.19 16:40:11 | 2ndInstance | could not get lock (timeout occured)
2013.11.19 16:40:11 | 2ndInstance | File could not be read!
2013.11.19 16:40:11 | 1stInstance | unset now
2013.11.19 16:40:11 | 1stInstance | Unlock
2013.11.19 16:40:11 | 1stInstance | Unlock file
2013.11.19 16:40:11 | 1stInstance | successful
2013.11.19 16:40:11 | 1stInstance | Close DataHandler
